question_id,course,chapter,chapter_idx,question_text,opt_A,opt_B,opt_C,opt_D,correct_option,answer_text,difficulty,tags,rwanda_focus,explanation
MUS-01-01-0031,Music Finance & Monetization,Revenue Streams,1,Which of these is a direct revenue stream for a performing artist? (Question 1),Social media username,Broadcast license,Producer's personal bank account,Live shows and ticket sales are direct income for performers,D,Live shows and ticket sales are direct income for performers,hard,"music,revenue",False,Live shows and ticket sales are direct income for performers — Explanation: Live shows and ticket sales are direct income for performers.
MUS-01-02-0032,Music Finance & Monetization,Revenue Streams,1,Which of these is a direct revenue stream for a performing artist? (Question 2),Social media username,Artist's hairstyle,Producer's personal bank account,Streaming payments come from DSPs and are often split via rights holders,D,Streaming payments come from DSPs and are often split via rights holders,easy,"music,revenue",False,Streaming payments come from DSPs and are often split via rights holders — Explanation: Streaming payments come from DSPs and are often split via rights holders.
MUS-01-03-0033,Music Finance & Monetization,Revenue Streams,1,Which of these is a direct revenue stream for a performing artist? (Question 3),Merchandise sales are a valuable revenue stream for artists,Producer's personal bank account,Sync fee,Broadcast license,A,Merchandise sales are a valuable revenue stream for artists,easy,"music,revenue",False,Merchandise sales are a valuable revenue stream for artists — Explanation: Merchandise sales are a valuable revenue stream for artists.
MUS-01-04-0034,Music Finance & Monetization,Revenue Streams,1,Which of these is a direct revenue stream for a performing artist? (Question 4),Audio bitrate,Streaming count,Sync licensing can produce significant one-off payments,ISWC,C,Sync licensing can produce significant one-off payments,medium,"music,revenue",False,Sync licensing can produce significant one-off payments — Explanation: Sync licensing can produce significant one-off payments.
MUS-01-05-0035,Music Finance & Monetization,Revenue Streams,1,Which of these is a direct revenue stream for a performing artist? (Question 5),Crowdfunding and direct fan support (Patreon) are alternative incomes,Genre label,Sample rate,Royalty split,A,Crowdfunding and direct fan support (Patreon) are alternative incomes,medium,"music,revenue",False,Crowdfunding and direct fan support (Patreon) are alternative incomes — Explanation: Crowdfunding and direct fan support (Patreon) are alternative incomes.
MUS-01-06-0036,Music Finance & Monetization,Revenue Streams,1,Which of these is a direct revenue stream for a performing artist? (Question 6),ISWC,Force majeure,Live performance etiquette,Brand sponsorships and endorsements can supplement revenue,D,Brand sponsorships and endorsements can supplement revenue,hard,"music,revenue",False,Brand sponsorships and endorsements can supplement revenue — Explanation: Brand sponsorships and endorsements can supplement revenue.
MUS-01-07-0037,Music Finance & Monetization,Revenue Streams,1,Which of these is a direct revenue stream for a performing artist? (Question 7),Genre label,Public domain status,Publishing income comes from compositions used publicly,Broadcast license,C,Publishing income comes from compositions used publicly,hard,"music,revenue",False,Publishing income comes from compositions used publicly — Explanation: Publishing income comes from compositions used publicly.
MUS-01-08-0038,Music Finance & Monetization,Revenue Streams,1,Which of these is a direct revenue stream for a performing artist? (Question 8),Neighboring rights may generate income for performers/labels,Audio bitrate,Non-disclosure,Force majeure,A,Neighboring rights may generate income for performers/labels,easy,"music,revenue",False,Neighboring rights may generate income for performers/labels — Explanation: Neighboring rights may generate income for performers/labels.
MUS-01-09-0039,Music Finance & Monetization,Revenue Streams,1,Which of these is a direct revenue stream for a performing artist? (Question 9),Producer's personal bank account,Force majeure,Public domain status,Teaching and workshops are local revenue opportunities,D,Teaching and workshops are local revenue opportunities,easy,"music,revenue",False,Teaching and workshops are local revenue opportunities — Explanation: Teaching and workshops are local revenue opportunities.
MUS-01-10-0040,Music Finance & Monetization,Revenue Streams,1,Which of these is a direct revenue stream for a performing artist? (Question 10),Physical sales (CDs/vinyl) remain niche but possible revenue,Social media username,Mechanical rights body,Album art size,A,Physical sales (CDs/vinyl) remain niche but possible revenue,easy,"music,revenue",False,Physical sales (CDs/vinyl) remain niche but possible revenue — Explanation: Physical sales (CDs/vinyl) remain niche but possible revenue.
MUS-02-01-0041,Music Finance & Monetization,Royalties & Collections,2,Which organisation typically collects public performance royalties in Rwanda? (Question 1),Live performance etiquette,Territory clause,Rwanda Society of Authors (RSAU) is a collective management society handling rights,Album art size,C,Rwanda Society of Authors (RSAU) is a collective management society handling rights,medium,"music,royalties",True,Rwanda Society of Authors (RSAU) is a collective management society handling rights — Explanation: Rwanda Society of Authors (RSAU) is a collective management society handling rights.
MUS-02-02-0042,Music Finance & Monetization,Royalties & Collections,2,Which organisation typically collects public performance royalties in Rwanda? (Question 2),CISAC supports and connects collecting societies across Africa,Public domain status,Force majeure,Tax ID,A,CISAC supports and connects collecting societies across Africa,easy,"music,royalties",True,CISAC supports and connects collecting societies across Africa — Explanation: CISAC supports and connects collecting societies across Africa.
MUS-02-03-0043,Music Finance & Monetization,Royalties & Collections,2,Which organisation typically collects public performance royalties in Rwanda? (Question 3),Live performance etiquette,Sample rate,Tax ID,Performance royalties are paid based on broadcast and public performance,D,Performance royalties are paid based on broadcast and public performance,easy,"music,royalties",True,Performance royalties are paid based on broadcast and public performance — Explanation: Performance royalties are paid based on broadcast and public performance.
MUS-02-04-0044,Music Finance & Monetization,Royalties & Collections,2,Which organisation typically collects public performance royalties in Rwanda? (Question 4),Exclusive territory,Ticket sales,Mechanical royalties are tracked and distributed for reproductions,Live performance etiquette,C,Mechanical royalties are tracked and distributed for reproductions,easy,"music,royalties",True,Mechanical royalties are tracked and distributed for reproductions — Explanation: Mechanical royalties are tracked and distributed for reproductions.
MUS-02-05-0045,Music Finance & Monetization,Royalties & Collections,2,Which organisation typically collects public performance royalties in Rwanda? (Question 5),Merch revenue,Digital distributors provide usage reports for streaming royalties,Royalty split,Producer's personal bank account,B,Digital distributors provide usage reports for streaming royalties,hard,"music,royalties",True,Digital distributors provide usage reports for streaming royalties — Explanation: Digital distributors provide usage reports for streaming royalties.
MUS-02-06-0046,Music Finance & Monetization,Royalties & Collections,2,Which organisation typically collects public performance royalties in Rwanda? (Question 6),Social media username,Merch revenue,Ticket sales,ISRC and accurate metadata improve royalty attribution,D,ISRC and accurate metadata improve royalty attribution,medium,"music,royalties",True,ISRC and accurate metadata improve royalty attribution — Explanation: ISRC and accurate metadata improve royalty attribution.
MUS-02-07-0047,Music Finance & Monetization,Royalties & Collections,2,Which organisation typically collects public performance royalties in Rwanda? (Question 7),Sync fee,International collections rely on reciprocal agreements between societies,Royalty split,Ticket sales,B,International collections rely on reciprocal agreements between societies,hard,"music,royalties",True,International collections rely on reciprocal agreements between societies — Explanation: International collections rely on reciprocal agreements between societies.
MUS-02-08-0048,Music Finance & Monetization,Royalties & Collections,2,Which organisation typically collects public performance royalties in Rwanda? (Question 8),Social media username,"Royalty rates vary by territory, use case and agreement",Flat fee only,Broadcast license,B,"Royalty rates vary by territory, use case and agreement",hard,"music,royalties",True,"Royalty rates vary by territory, use case and agreement — Explanation: Royalty rates vary by territory, use case and agreement."
MUS-02-09-0049,Music Finance & Monetization,Royalties & Collections,2,Which organisation typically collects public performance royalties in Rwanda? (Question 9),Sponsorships,Force majeure,Artists should register works and recordings to be eligible for collection,Tax ID,C,Artists should register works and recordings to be eligible for collection,medium,"music,royalties",True,Artists should register works and recordings to be eligible for collection — Explanation: Artists should register works and recordings to be eligible for collection.
MUS-02-10-0050,Music Finance & Monetization,Royalties & Collections,2,Which organisation typically collects public performance royalties in Rwanda? (Question 10),Merch revenue,Genre label,Ticket sales,Timely metadata submission reduces missed payments,D,Timely metadata submission reduces missed payments,hard,"music,royalties",True,Timely metadata submission reduces missed payments — Explanation: Timely metadata submission reduces missed payments.
MUS-03-01-0051,Music Finance & Monetization,Budgeting & Taxes,3,"When budgeting for an album project in Rwanda, which cost is essential to include? (Question 1)",Audio bitrate,Bank's interest rate,Production credits only,"Include studio time, mixing and mastering in an album budget",D,"Include studio time, mixing and mastering in an album budget",medium,"music,budgeting",True,"Include studio time, mixing and mastering in an album budget — Explanation: Include studio time, mixing and mastering in an album budget."
MUS-03-02-0052,Music Finance & Monetization,Budgeting & Taxes,3,"When budgeting for an album project in Rwanda, which cost is essential to include? (Question 2)",Album art size,Allocate funds for marketing and promotion in the budget,Collecting society name,Force majeure,B,Allocate funds for marketing and promotion in the budget,hard,"music,budgeting",True,Allocate funds for marketing and promotion in the budget — Explanation: Allocate funds for marketing and promotion in the budget.
MUS-03-03-0053,Music Finance & Monetization,Budgeting & Taxes,3,"When budgeting for an album project in Rwanda, which cost is essential to include? (Question 3)",Streaming count,Collecting society name,Tax ID,Track and reserve funds for taxes and social contributions in Rwanda,D,Track and reserve funds for taxes and social contributions in Rwanda,easy,"music,budgeting",True,Track and reserve funds for taxes and social contributions in Rwanda — Explanation: Track and reserve funds for taxes and social contributions in Rwanda.
MUS-03-04-0054,Music Finance & Monetization,Budgeting & Taxes,3,"When budgeting for an album project in Rwanda, which cost is essential to include? (Question 4)",Keep receipts and proper invoicing for deductible expenses,ISWC,Streaming count,Genre label,A,Keep receipts and proper invoicing for deductible expenses,hard,"music,budgeting",True,Keep receipts and proper invoicing for deductible expenses — Explanation: Keep receipts and proper invoicing for deductible expenses.
MUS-03-05-0055,Music Finance & Monetization,Budgeting & Taxes,3,"When budgeting for an album project in Rwanda, which cost is essential to include? (Question 5)",Set aside contingency funds (10-20%) for overruns,Broadcast license,Flat fee only,Sample rate,A,Set aside contingency funds (10-20%) for overruns,hard,"music,budgeting",True,Set aside contingency funds (10-20%) for overruns — Explanation: Set aside contingency funds (10-20%) for overruns.
MUS-03-06-0056,Music Finance & Monetization,Budgeting & Taxes,3,"When budgeting for an album project in Rwanda, which cost is essential to include? (Question 6)",Live performance etiquette,Exclusive territory,Bank's interest rate,Separate personal and business accounts for clarity and taxes,D,Separate personal and business accounts for clarity and taxes,medium,"music,budgeting",True,Separate personal and business accounts for clarity and taxes — Explanation: Separate personal and business accounts for clarity and taxes.
MUS-03-07-0057,Music Finance & Monetization,Budgeting & Taxes,3,"When budgeting for an album project in Rwanda, which cost is essential to include? (Question 7)",Grants and public funding may require reporting and audits,Broadcast license,Artist's hairstyle,Live performance etiquette,A,Grants and public funding may require reporting and audits,easy,"music,budgeting",True,Grants and public funding may require reporting and audits — Explanation: Grants and public funding may require reporting and audits.
MUS-03-08-0058,Music Finance & Monetization,Budgeting & Taxes,3,"When budgeting for an album project in Rwanda, which cost is essential to include? (Question 8)",ISWC,Understand VAT and income tax obligations for paid performances,Force majeure,Streaming count,B,Understand VAT and income tax obligations for paid performances,easy,"music,budgeting",True,Understand VAT and income tax obligations for paid performances — Explanation: Understand VAT and income tax obligations for paid performances.
MUS-03-09-0059,Music Finance & Monetization,Budgeting & Taxes,3,"When budgeting for an album project in Rwanda, which cost is essential to include? (Question 9)",Flat fee only,Audio bitrate,Producer's personal bank account,Negotiate payment schedules to manage cashflow for projects,D,Negotiate payment schedules to manage cashflow for projects,medium,"music,budgeting",True,Negotiate payment schedules to manage cashflow for projects — Explanation: Negotiate payment schedules to manage cashflow for projects.
MUS-03-10-0060,Music Finance & Monetization,Budgeting & Taxes,3,"When budgeting for an album project in Rwanda, which cost is essential to include? (Question 10)",Tax ID,Audio bitrate,Use simple accounting tools or hire an accountant when possible,Live performance etiquette,C,Use simple accounting tools or hire an accountant when possible,easy,"music,budgeting",True,Use simple accounting tools or hire an accountant when possible — Explanation: Use simple accounting tools or hire an accountant when possible.
CON-01-01-0061,Contracts & Negotiation,Types of Contracts,1,Which contract typically governs the relationship between artist and manager? (Question 1),A recording contract defines producer/label obligations and rights,Royalty split,Genre label,Social media username,A,A recording contract defines producer/label obligations and rights,hard,"contracts,types",False,A recording contract defines producer/label obligations and rights — Explanation: A recording contract defines producer/label obligations and rights.
CON-01-02-0062,Contracts & Negotiation,Types of Contracts,1,Which contract typically governs the relationship between artist and manager? (Question 2),Audio bitrate,Social media username,A management agreement defines commission and duration with manager,ISWC,C,A management agreement defines commission and duration with manager,easy,"contracts,types",False,A management agreement defines commission and duration with manager — Explanation: A management agreement defines commission and duration with manager.
CON-01-03-0063,Contracts & Negotiation,Types of Contracts,1,Which contract typically governs the relationship between artist and manager? (Question 3),Album art size,A publishing agreement assigns publishing rights for administration,ISWC,Broadcast license,B,A publishing agreement assigns publishing rights for administration,medium,"contracts,types",False,A publishing agreement assigns publishing rights for administration — Explanation: A publishing agreement assigns publishing rights for administration.
CON-01-04-0064,Contracts & Negotiation,Types of Contracts,1,Which contract typically governs the relationship between artist and manager? (Question 4),Public domain status,Flat fee only,Album art size,A licensing agreement grants limited rights for a specified use,D,A licensing agreement grants limited rights for a specified use,medium,"contracts,types",False,A licensing agreement grants limited rights for a specified use — Explanation: A licensing agreement grants limited rights for a specified use.
CON-01-05-0065,Contracts & Negotiation,Types of Contracts,1,Which contract typically governs the relationship between artist and manager? (Question 5),A distribution agreement handles getting recordings to stores and DSPs,Sample rate,Social media username,Collecting society name,A,A distribution agreement handles getting recordings to stores and DSPs,easy,"contracts,types",False,A distribution agreement handles getting recordings to stores and DSPs — Explanation: A distribution agreement handles getting recordings to stores and DSPs.
CON-01-06-0066,Contracts & Negotiation,Types of Contracts,1,Which contract typically governs the relationship between artist and manager? (Question 6),A work-for-hire contract may transfer all rights to employer,Artist's hairstyle,Royalty split,Social media username,A,A work-for-hire contract may transfer all rights to employer,medium,"contracts,types",False,A work-for-hire contract may transfer all rights to employer — Explanation: A work-for-hire contract may transfer all rights to employer.
CON-01-07-0067,Contracts & Negotiation,Types of Contracts,1,Which contract typically governs the relationship between artist and manager? (Question 7),"A live performance contract sets fee, rider and cancellation terms",Producer's personal bank account,Bank's interest rate,Mechanical rights body,A,"A live performance contract sets fee, rider and cancellation terms",hard,"contracts,types",False,"A live performance contract sets fee, rider and cancellation terms — Explanation: A live performance contract sets fee, rider and cancellation terms."
CON-01-08-0068,Contracts & Negotiation,Types of Contracts,1,Which contract typically governs the relationship between artist and manager? (Question 8),Streaming count,Collecting society name,Broadcast license,A collaboration agreement clarifies splits and credits between artists,D,A collaboration agreement clarifies splits and credits between artists,easy,"contracts,types",False,A collaboration agreement clarifies splits and credits between artists — Explanation: A collaboration agreement clarifies splits and credits between artists.
CON-01-09-0069,Contracts & Negotiation,Types of Contracts,1,Which contract typically governs the relationship between artist and manager? (Question 9),Live performance etiquette,Ticket sales,Bank's interest rate,An endorsement agreement sets terms for brand partnerships,D,An endorsement agreement sets terms for brand partnerships,medium,"contracts,types",False,An endorsement agreement sets terms for brand partnerships — Explanation: An endorsement agreement sets terms for brand partnerships.
CON-01-10-0070,Contracts & Negotiation,Types of Contracts,1,Which contract typically governs the relationship between artist and manager? (Question 10),ISWC,A producer agreement details payments and points for producers,Public domain status,Broadcast license,B,A producer agreement details payments and points for producers,medium,"contracts,types",False,A producer agreement details payments and points for producers — Explanation: A producer agreement details payments and points for producers.
CON-02-01-0071,Contracts & Negotiation,Key Clauses & Red Flags,2,Which clause can transfer ownership of rights to another party? (Question 1),Bank's interest rate,Ticket sales,Sample rate,Assignment clause transfers ownership if not negotiated carefully,D,Assignment clause transfers ownership if not negotiated carefully,easy,"contracts,key",False,Assignment clause transfers ownership if not negotiated carefully — Explanation: Assignment clause transfers ownership if not negotiated carefully.
CON-02-02-0072,Contracts & Negotiation,Key Clauses & Red Flags,2,Which clause can transfer ownership of rights to another party? (Question 2),Exclusivity clauses can limit an artist's ability to work elsewhere,Public domain status,Streaming count,Sync fee,A,Exclusivity clauses can limit an artist's ability to work elsewhere,easy,"contracts,key",False,Exclusivity clauses can limit an artist's ability to work elsewhere — Explanation: Exclusivity clauses can limit an artist's ability to work elsewhere.
CON-02-03-0073,Contracts & Negotiation,Key Clauses & Red Flags,2,Which clause can transfer ownership of rights to another party? (Question 3),Royalty split,Territory clauses limit where rights are granted,Merch revenue,Broadcast license,B,Territory clauses limit where rights are granted,hard,"contracts,key",False,Territory clauses limit where rights are granted — Explanation: Territory clauses limit where rights are granted.
CON-02-04-0074,Contracts & Negotiation,Key Clauses & Red Flags,2,Which clause can transfer ownership of rights to another party? (Question 4),Termination clauses define how parties exit agreements,Sync fee,Tax ID,Royalty split,A,Termination clauses define how parties exit agreements,hard,"contracts,key",False,Termination clauses define how parties exit agreements — Explanation: Termination clauses define how parties exit agreements.
CON-02-05-0075,Contracts & Negotiation,Key Clauses & Red Flags,2,Which clause can transfer ownership of rights to another party? (Question 5),Payment schedule and accounting transparency are essential,Streaming count,Audio bitrate,Tax ID,A,Payment schedule and accounting transparency are essential,hard,"contracts,key",False,Payment schedule and accounting transparency are essential — Explanation: Payment schedule and accounting transparency are essential.
CON-02-06-0076,Contracts & Negotiation,Key Clauses & Red Flags,2,Which clause can transfer ownership of rights to another party? (Question 6),Merch revenue,Ambiguous royalty definitions are a common red flag,ISWC,Album art size,B,Ambiguous royalty definitions are a common red flag,medium,"contracts,key",False,Ambiguous royalty definitions are a common red flag — Explanation: Ambiguous royalty definitions are a common red flag.
CON-02-07-0077,Contracts & Negotiation,Key Clauses & Red Flags,2,Which clause can transfer ownership of rights to another party? (Question 7),Indemnity clauses can expose artists to liability,Non-disclosure,Tax ID,Sample rate,A,Indemnity clauses can expose artists to liability,medium,"contracts,key",False,Indemnity clauses can expose artists to liability — Explanation: Indemnity clauses can expose artists to liability.
